('宝宝', 142)
('祝福', 80)
('期待', 77)
('喜欢', 73)
('恭喜', 73)
('接接', 71)
('真的', 62)
('第一', 50)
('快乐', 49)
('祖国', 34)
('舞台', 33)
('朋友', 33)
('老公', 32)
('毕业', 32)
('谢谢', 28)
('好好', 27)
('开心', 27)
('维维', 26)
('加油', 25)
('哥哥', 25)
('视频', 24)
('世界', 24)
('永远', 23)
('好听', 23)
('香港', 23)
('希望', 22)
('孩子', 21)
('七月', 20)
('朋友圈', 19)
('敦豪', 19)
('生活', 18)
('宝贝', 18)
('合作', 18)
('day', 18)
('好看', 18)
('可爱', 17)
('老师', 17)
('涂山', 17)
('致敬', 17)
('中国', 17)
('感觉', 16)
('生日', 16)
('幸福', 16)
('记得', 16)
('追风', 16)
('蟑螂', 16)
('终于', 16)
('评论', 15)
('厉害', 15)
('下次', 15)
('一点', 15)
('双人', 15)
('见面', 15)
('关注', 15)
('实至名归', 14)
('妹妹', 14)
('打开', 14)
('热巴', 14)
('流水', 14)
('任何', 13)
('手机', 13)
('活动', 13)
('呜呜', 13)
('何人', 13)
('电影', 13)
('你好', 13)
('任何人', 13)
('北京', 13)
('粉丝', 13)
('顺利', 13)
('太棒', 12)
('支持', 12)
('奥运', 12)
('人气', 12)
('by', 12)
('漂亮', 12)
('大哥', 12)
('生日快乐', 12)
('老婆', 12)
('精彩', 12)
('工作', 12)
('照顾', 12)
('迢迢', 12)
('时间', 12)
('初心', 12)
('更好', 11)
('早安', 11)
('未来', 11)
('美好', 11)
('造型', 11)
('晚上', 11)
('满满', 11)
('火炬', 10)
('明天', 10)
('魅力', 10)
('实况', 10)
('爷爷', 10)
('骄傲', 10)
('有没有', 10)
('火炬手', 10)
