timestamp,value
2022-04-01 00:00:00,10844
2022-04-01 00:30:00,8127
2022-04-01 01:00:00,6210
2022-04-01 01:30:00,4656
2022-04-01 02:00:00,3820
2022-04-01 02:30:00,2873
2022-04-01 03:00:00,2369
2022-04-01 03:30:00,2064
2022-04-01 04:00:00,2221
2022-04-01 04:30:00,2158
2022-04-01 05:00:00,2515
2022-04-01 05:30:00,4364
2022-04-01 06:00:00,6526
2022-04-01 06:30:00,11039
2022-04-01 07:00:00,13857
2022-04-01 07:30:00,15865
2022-04-01 08:00:00,17920
2022-04-01 08:30:00,20346
2022-04-01 09:00:00,19539
2022-04-01 09:30:00,20107
2022-04-01 10:00:00,18984
2022-04-01 10:30:00,17720
2022-04-01 11:00:00,17249
2022-04-01 11:30:00,18463
2022-04-01 12:00:00,18908
2022-04-01 12:30:00,18886
2022-04-01 13:00:00,18178
2022-04-01 13:30:00,19459
2022-04-01 14:00:00,19546
2022-04-01 14:30:00,20591
2022-04-01 15:00:00,19380
2022-04-01 15:30:00,18544
2022-04-01 16:00:00,16228
2022-04-01 16:30:00,15013
2022-04-01 17:00:00,17203
2022-04-01 17:30:00,19525
2022-04-01 18:00:00,22966
2022-04-01 18:30:00,27598
2022-04-01 19:00:00,26827
2022-04-01 19:30:00,24904
2022-04-01 20:00:00,22875
2022-04-01 20:30:00,20394
2022-04-01 21:00:00,23401
2022-04-01 21:30:00,24439
2022-04-01 22:00:00,23318
2022-04-01 22:30:00,21733
2022-04-01 23:00:00,20104
2022-04-01 23:30:00,16111
2022-04-02 00:00:00,13370
2022-04-02 00:30:00,9945
2022-04-02 01:00:00,7571
2022-04-02 01:30:00,5917
2022-04-02 02:00:00,4820
2022-04-02 02:30:00,3634
2022-04-02 03:00:00,2993
2022-04-02 03:30:00,2535
2022-04-02 04:00:00,2570
2022-04-02 04:30:00,2485
2022-04-02 05:00:00,2868
2022-04-02 05:30:00,4482
2022-04-02 06:00:00,6788
2022-04-02 06:30:00,11078
2022-04-02 07:00:00,13729
2022-04-02 07:30:00,16700
2022-04-02 08:00:00,19156
2022-04-02 08:30:00,19953
2022-04-02 09:00:00,19502
2022-04-02 09:30:00,18994
2022-04-02 10:00:00,17311
2022-04-02 10:30:00,17904
2022-04-02 11:00:00,17133
2022-04-02 11:30:00,18589
2022-04-02 12:00:00,19134
2022-04-02 12:30:00,19259
2022-04-02 13:00:00,18667
2022-04-02 13:30:00,19078
2022-04-02 14:00:00,18546
2022-04-02 14:30:00,18593
2022-04-02 15:00:00,17967
2022-04-02 15:30:00,16624
2022-04-02 16:00:00,14634
2022-04-02 16:30:00,13888
2022-04-02 17:00:00,17430
2022-04-02 17:30:00,21919
2022-04-02 18:00:00,23633
2022-04-02 18:30:00,24512
2022-04-02 19:00:00,24887
2022-04-02 19:30:00,26872
2022-04-02 20:00:00,22009
2022-04-02 20:30:00,18259
2022-04-02 21:00:00,20844
2022-04-02 21:30:00,22576
2022-04-02 22:00:00,22401
2022-04-02 22:30:00,19056
2022-04-02 23:00:00,17518
2022-04-02 23:30:00,15307
2022-04-03 00:00:00,12646
2022-04-03 00:30:00,10562
2022-04-03 01:00:00,8416
2022-04-03 01:30:00,7098
2022-04-03 02:00:00,5826
2022-04-03 02:30:00,4383
2022-04-03 03:00:00,3270
2022-04-03 03:30:00,2948
2022-04-03 04:00:00,3146
2022-04-03 04:30:00,3077
2022-04-03 05:00:00,3000
2022-04-03 05:30:00,4592
2022-04-03 06:00:00,6486
2022-04-03 06:30:00,10113
2022-04-03 07:00:00,12240
2022-04-03 07:30:00,14574
2022-04-03 08:00:00,16778
2022-04-03 08:30:00,18910
2022-04-03 09:00:00,18350
2022-04-03 09:30:00,17218
2022-04-03 10:00:00,16097
2022-04-03 10:30:00,16409
2022-04-03 11:00:00,15893
2022-04-03 11:30:00,16778
2022-04-03 12:00:00,17604
2022-04-03 12:30:00,18665
2022-04-03 13:00:00,19045
2022-04-03 13:30:00,19261
2022-04-03 14:00:00,19363
2022-04-03 14:30:00,19078
2022-04-03 15:00:00,18193
2022-04-03 15:30:00,16635
2022-04-03 16:00:00,14615
2022-04-03 16:30:00,13759
2022-04-03 17:00:00,17008
2022-04-03 17:30:00,19595
